source_id,designation,ra,dec,parallax,parallax_error,parallax_over_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,teff_gspphot,pmra,pmdec,radial_velocity,distance_pc
5301532915221198976,Gaia DR3 5301532915221198976,132.8970118467844,-60.49047784985769,32.331259994427896,0.013666245,2365.775,10.230586,11.062705,9.340773,1.7219324,3922.9707,0.8702449945723316,-109.93357441448944,-0.4860058,30.929818391622973
3310500082395427200,Gaia DR3 3310500082395427200,63.716923255422195,13.054855338582076,22.294688088545765,0.045448437,490.54907,10.232033,10.915702,9.4196,1.4961023,,112.75112138609474,-22.059896989915025,38.643177,44.85373359018937
5023810812202201600,Gaia DR3 5023810812202201600,28.573944685834007,-29.390072464833473,20.292927753164278,0.01777106,1141.9087,10.232337,10.877428,9.464421,1.4130068,4451.559,73.57763077642497,-63.44255418259246,16.134691,49.27825162360172
4743406725457861248,Gaia DR3 4743406725457861248,35.632254340457685,-53.09363291413031,20.290904182699357,0.01577767,1286.052,10.233908,10.877745,9.469794,1.4079504,4537.9146,244.27682573535043,125.82372703957337,32.16944,49.283166043070196
3270590765246119168,Gaia DR3 3270590765246119168,56.990319881953134,2.7859304481715994,56.98699835001791,0.024432756,2332.4016,10.23421,11.284525,9.21759,2.0669346,,-394.40963777471956,-425.07596072307103,8.609605,17.547862301115316
1193932021308741888,Gaia DR3 1193932021308741888,233.71736867006,13.874567047351459,28.938219125426624,0.01769511,1635.3795,10.236139,11.040125,9.36478,1.6753445,,133.1858039095976,-36.47470896077802,4.197742,34.556376661110704
777055589250635520,Gaia DR3 777055589250635520,166.979438828406,40.20480606070605,30.576441506690205,0.024726842,1236.5688,10.237135,11.019629,9.376623,1.6430054,,-100.32105303956894,47.61945065514747,-5.090968,32.70491760073511
6491962300492857472,Gaia DR3 6491962300492857472,350.0285027617499,-60.06574702172856,39.71128907108762,0.024424436,1625.8835,10.237262,11.261691,9.237216,2.024475,,-319.9235847219109,-127.78249082533756,29.438478,25.18175620564442
6222864212643490560,Gaia DR3 6222864212643490560,218.15393286333017,-28.268713565971897,20.25681013292051,0.056530043,358.33707,10.23776,10.910474,9.453882,1.4565916,,-454.9227309830807,-304.98678718304825,-64.538994,49.36611408401574
3959118106337427200,Gaia DR3 3959118106337427200,188.38057010742793,23.83473355999974,23.125154512866793,0.021128416,1094.5049,10.237766,10.905215,9.453328,1.4518871,,-412.4309051989587,-55.733946727592794,0.05800383,43.242954309498856
2595508217975255040,Gaia DR3 2595508217975255040,335.43232409748737,-17.16243038322479,21.057067752564013,0.05673474,371.14944,10.23784,10.874021,9.293375,1.5806456,4175.9604,370.6879906806217,-240.3934708524356,-27.466333,47.48999299193664
5022972468944971648,Gaia DR3 5022972468944971648,23.75506775545655,-29.90937914705131,45.766625800691024,0.105220996,434.95718,10.238371,10.06632,6.541438,3.5248823,,190.95510264057333,95.59420130880581,,21.84998309368267
5323452912166318080,Gaia DR3 5323452912166318080,136.03897660500712,-52.838621454262054,24.52734759748791,0.04389447,558.7799,10.239326,10.851691,9.48491,1.3667812,,74.05224357687034,369.8812797393597,57.71261,40.77081698399463
6206643671653125888,Gaia DR3 6206643671653125888,232.1300133622547,-33.135572506613606,32.316895599148815,0.048769355,662.6476,10.239545,11.098838,9.330572,1.7682657,,-148.83097030100433,-112.80382110878237,-69.27971,30.943566251033676
1579782846569880960,Gaia DR3 1579782846569880960,192.94726811806117,59.80757824443585,22.872066353783236,0.011281957,2027.3137,10.239614,10.963733,9.4187565,1.5449762,,-86.88937492269805,-92.13294694189861,-8.977815,43.721454132393745
6121189181262914432,Gaia DR3 6121189181262914432,212.41710955271145,-35.69341243365295,22.918886563806737,0.01895207,1209.3079,10.240056,10.959402,9.42401,1.5353918,4376.711,-93.39003701307513,-115.82283394434205,-13.271757,43.63213706808905
5650942282994889088,Gaia DR3 5650942282994889088,136.9131398682745,-25.26149348100192,24.472161906283993,0.015692819,1559.4497,10.240229,10.925279,9.44553,1.4797487,4343.745,-257.8070446772988,57.14956199167125,-21.841223,40.86275678583259
6795611300001195904,Gaia DR3 6795611300001195904,312.45026453573024,-28.46987477697836,29.126807896835665,0.01673293,1740.688,10.240463,11.078587,9.343451,1.735136,,79.0313735686087,-150.7214517833143,1.4523906,34.3326327945686
4103671243754951296,Gaia DR3 4103671243754951296,279.6869546094248,-14.493090301699558,74.79177425095429,0.052843038,1415.3572,10.241307,11.498909,9.135763,2.3631458,3224.9536,111.73937976470509,-568.9949808960315,-38.937145,13.370454304836079
1393823029080055808,Gaia DR3 1393823029080055808,227.76061215437161,44.404638024685205,20.654882619228925,0.010311355,2003.1201,10.241782,10.88822,9.473636,1.4145842,4401.239,103.67852389729218,-187.62737295063772,-40.32462,48.41470263641379
3357701803041885696,Gaia DR3 3357701803041885696,101.69010351448523,15.961599855441946,44.688318242621875,0.019712716,2266.9792,10.243071,11.285658,9.23299,2.0526676,3624.2761,-99.31910363228536,-25.34988146756062,15.64605,22.37721264359958
3277270538903180160,Gaia DR3 3277270538903180160,57.05021787943685,7.1462724156730175,27.446084590337797,0.0182514,1503.7797,10.243204,11.042631,9.367696,1.6749353,4077.1243,175.4456550115101,6.444470001029592,34.649075,36.43506951632886
5445884154689638400,Gaia DR3 5445884154689638400,156.73702704694531,-34.95715347110495,21.366340806755577,0.04674374,457.09525,10.243234,10.964684,9.418377,1.5463066,,-62.491774772000426,-4.352857638993617,67.1597,46.80258585428074
4847169664995582592,Gaia DR3 4847169664995582592,50.34525397121439,-45.20672154826716,23.57582616803776,0.034384508,685.6526,10.243244,10.957317,9.430524,1.5267935,,19.497608440837208,6.619222974572089,19.110546,42.41632903434455
567659818855055488,Gaia DR3 567659818855055488,50.351214978167995,79.9685443981029,71.65856556711978,0.013828526,5181.938,10.243402,11.441199,9.157168,2.284031,3222.7449,410.0899489670118,287.87506822568264,-13.60931,13.95506583317439
1126945306178760960,Gaia DR3 1126945306178760960,159.56583547108391,76.17062740335201,22.83477994664472,0.014220052,1605.8154,10.243537,10.937822,9.443135,1.4946871,,-445.67597864193164,-276.6718736301444,-24.415236,43.79284592786003
781552523088810752,Gaia DR3 781552523088810752,164.97299606478498,43.16710070752917,20.839297890673333,0.021753475,957.9756,10.2442465,10.885658,9.478157,1.4075012,4431.2896,-129.07380229300642,-118.57085599423854,25.665749,47.986261593177375
1873356982383718784,Gaia DR3 1873356982383718784,314.98130502305065,40.259216189028166,24.892951436277958,0.037019834,672.422,10.244836,,,,,236.6941961249714,197.0069920115982,,40.17201425712185
1915486080362257152,Gaia DR3 1915486080362257152,344.2509281613016,35.66097396833124,24.67679164022519,0.04535667,544.0609,10.245173,10.977031,9.414044,1.5629864,,-100.06808356501342,-43.196360810020366,-0.038850576,40.52390661555525
4050315620888104320,Gaia DR3 4050315620888104320,271.35908066406444,-29.497215811836686,30.084365462181527,0.028717682,1047.5903,10.246167,11.099998,9.336144,1.763854,,18.68334350401957,-137.83858195088334,-46.85777,33.23985680392963
5467029511341033344,Gaia DR3 5467029511341033344,152.50075074050608,-25.97712114663497,28.82758988861563,0.017390475,1657.6655,10.246337,11.032191,9.380242,1.6519489,,148.74021287227762,-287.29475337991596,10.370578,34.68899078500185
3185759697949251456,Gaia DR3 3185759697949251456,70.12147038430267,-9.196327513552045,49.1149085854867,0.042575672,1153.591,10.247963,11.045878,8.82046,2.225418,3468.9524,-91.25166615371198,-84.86201127270711,,20.360416598545736
5382868669400908928,Gaia DR3 5382868669400908928,172.93957728244337,-41.045677215569405,92.92837858868671,0.025705671,3615.0925,10.248216,11.72855,9.04749,2.6810598,3145.0322,-717.4376484546574,171.18322063000505,-1.0976199,10.760975443530896
5341575307627536256,Gaia DR3 5341575307627536256,176.92184860577808,-59.23637806821509,25.01199177357274,0.017077705,1464.5991,10.24831,10.861863,9.200194,1.6616688,4253.466,-202.26623941285865,81.32314475494351,-6.658858,39.98082236123969
5793472628145729792,Gaia DR3 5793472628145729792,227.56123303761706,-74.23091204107814,21.080556606880716,0.011711767,1799.9467,10.248583,10.856807,9.504984,1.3518229,4531.646,32.8050132101739,28.244749480463724,-2.4199245,47.437077618415394
3011648664439643520,Gaia DR3 3011648664439643520,88.64267375760336,-9.391090215325711,26.30517749830843,0.017258072,1524.2246,10.249112,10.919795,9.457975,1.4618196,,115.07128327198258,367.4184062327673,26.371698,38.01532987429207
6245870673116518784,Gaia DR3 6245870673116518784,243.17425206530802,-18.876454482180023,68.60997988235447,0.028663991,2393.5947,10.250556,11.612239,9.094473,2.517766,3141.0535,36.44735269088709,-214.02462739770093,-4.9285083,14.575139093681415
4618576627736267008,Gaia DR3 4618576627736267008,45.87367323304605,-82.84312825806175,27.949887435950114,0.013555245,2061.9243,10.251032,10.997181,9.416652,1.5805292,4190.983,378.0388365926492,244.04161002470866,13.710119,35.77831940438391
2088554257161398016,Gaia DR3 2088554257161398016,300.08048759905296,49.97334442070328,20.426252824795096,0.011851064,1723.5796,10.252156,10.880558,9.50063,1.3799276,4443.9214,50.63688140992032,26.795912141556123,10.227754,48.95660543210923
2900977287185258880,Gaia DR3 2900977287185258880,85.20317414203802,-33.387373611239724,38.836442587339725,0.12752376,304.5428,10.253611,11.294095,9.225897,2.0681982,,71.5201066546004,96.16745314884706,28.165567,25.74901132489384
4272127798091790080,Gaia DR3 4272127798091790080,278.7053139481544,-0.7188014976906589,23.023547606094155,0.018237136,1262.4541,10.255204,10.906855,9.45811,1.4487448,4198.0337,-35.18397844458931,14.86907881671281,18.157383,43.43379296313604
4230094705509739904,Gaia DR3 4230094705509739904,304.6898980921147,-0.6576084147330267,36.62274460230693,0.3552637,103.08608,10.256057,11.241716,9.271683,1.9700336,,-205.98118803928435,-66.12097560568894,-10.142649,27.305435757455715
5407414407508441856,Gaia DR3 5407414407508441856,153.23340902836281,-47.47555103413008,26.960673203586236,0.0117054805,2303.2522,10.256069,11.019028,9.401688,1.6173401,4153.005,-217.95867489455932,149.10648686157734,-0.3419724,37.091061949706166
6726054197284153600,Gaia DR3 6726054197284153600,273.2464088394459,-39.162207340955874,20.113285034293252,0.091602825,219.57057,10.25694,,,,,42.26838784596042,-137.81445643336014,,49.718382566298594
2385308734642878720,Gaia DR3 2385308734642878720,349.65822514253125,-22.714292562424248,20.763807839083785,0.01879484,1104.7611,10.257162,10.908124,9.48989,1.4182339,4411.4907,397.96419163163495,-99.9077546088368,-0.6504361,48.16072310771903
