source_id,designation,ra,dec,l,b,parallax,phot_g_mean_mag,bp_rp,teff_gspphot,logg_gspphot,distance_gspphot,distance_pc
2061540429018891392,Gaia DR3 2061540429018891392,302.17409652274966,37.38731687543424,74.2962373201186,2.4635267222647323,0.13230423086704615,14.613086,2.6444588,4541.665,1.7778,7140.593,7140.593
2034317758092091264,Gaia DR3 2034317758092091264,298.4545066081213,32.90294890154795,68.87790209078709,2.6833869134923547,0.261757713020692,14.752905,2.0139475,4593.031,2.2674,5437.249,5437.249
4035550210540217088,Gaia DR3 4035550210540217088,269.65812378428546,-40.29635857620345,351.51596812371815,-8.041064562495693,0.24294985472548905,13.859271,1.5527506,4593.0537,2.2395,6327.1484,6327.1484
2058207225167825152,Gaia DR3 2058207225167825152,301.3292561369304,33.57630915867159,70.71339996380391,0.9896681049455404,0.3632788373655213,14.318527,1.9376469,6326.1167,2.2162,8526.296,8526.296
5519010332293274496,Gaia DR3 5519010332293274496,118.77065714529148,-46.073624099950564,260.41807881465155,-9.157667061296273,0.08570268481410602,14.52447,1.5993671,4552.2065,2.1702,6780.9414,6780.9414
5938372283461341056,Gaia DR3 5938372283461341056,253.5359798426465,-49.662567089245,337.37326844900286,-3.752282037506782,0.382349403899913,13.869207,1.8230019,4665.581,2.2276,5414.6553,5414.6553
1849443605201961856,Gaia DR3 1849443605201961856,325.80723894729596,29.65651537280092,81.08847229962417,-17.53722250495727,0.16805778745970149,14.366131,1.4279213,4444.8384,2.0899,5659.0806,5659.0806
4092892456376902784,Gaia DR3 4092892456376902784,277.73723036024944,-19.46781862291152,13.298863708353144,-4.41917678782695,0.09477452335610093,15.376236,2.2190418,6093.366,2.3766,9189.586,9189.586
4516153718027450880,Gaia DR3 4516153718027450880,288.9849961733386,19.275093862049033,52.83006578920726,3.490194938676397,0.2756458706631974,15.249626,2.3626032,4677.753,2.0292,5211.678,5211.678
5889900450767543808,Gaia DR3 5889900450767543808,229.71001378015185,-51.55722850544546,324.9096625883933,4.912823960333981,0.015087953603610583,15.42683,2.4572039,4421.793,1.1203,10979.997,10979.997
4186149149899001344,Gaia DR3 4186149149899001344,292.683424946227,-13.94721804174715,24.661376195973858,-14.908663668758406,0.23661470104688348,14.205121,1.4387083,4961.57,2.1924,7790.8975,7790.8975
4106523583035325952,Gaia DR3 4106523583035325952,278.8221768792388,-12.013292951789795,20.41286467393491,-1.9266297448012257,0.09945835516481241,14.250814,5.716984,3386.2861,0.064,11538.593,11538.593
4048693806908561792,Gaia DR3 4048693806908561792,278.0720195845801,-27.844049772095115,5.912716204905789,-8.470279400273967,0.334007973513267,10.701496,2.95475,3611.622,0.048,12194.259,12194.259
4657353379206278912,Gaia DR3 4657353379206278912,88.68354702633444,-69.924374097665,280.28255690356923,-30.204958473903044,-0.009599326629425833,14.994451,1.4269161,4703.6245,2.4548,9489.591,9489.591
6006895394237150464,Gaia DR3 6006895394237150464,229.58593161779444,-38.756668396477664,331.9067143096262,15.712288237532775,0.11252256200516639,14.539239,1.384264,4680.9126,2.1619,6433.543,6433.543
4051962891117872256,Gaia DR3 4051962891117872256,276.1841951209413,-26.862943593726463,6.036136281562241,-6.531493339169277,0.11583159589319571,15.772864,1.6071253,4585.289,2.345,8181.9546,8181.9546
5579939395487221504,Gaia DR3 5579939395487221504,104.07797751737397,-33.15410252601349,243.5236889377805,-13.504958742884263,0.16562742079201528,13.76178,1.6683655,4768.2188,1.9594,8059.8774,8059.8774
1866389347137946752,Gaia DR3 1866389347137946752,316.0279084581791,34.50589253250787,78.74863378309941,-8.217994157293314,0.08370448392510844,14.902485,1.5491419,4718.879,2.3315,8884.387,8884.387
6723319578716164736,Gaia DR3 6723319578716164736,278.44682536745296,-41.47866171956179,353.4321109540242,-14.519834574771414,0.08318688034666538,13.519184,1.5311794,4259.2256,0.9076,12822.892,12822.892
5959816093077265664,Gaia DR3 5959816093077265664,260.06008708719605,-41.60283092416657,346.5648253848707,-2.571751184776042,0.0702493522399989,14.196322,3.9210682,3768.2292,0.782,10188.618,10188.618
1827213404272278144,Gaia DR3 1827213404272278144,299.4095598292047,22.28469143152171,60.225594612777066,-3.535563810922789,0.12937089471965482,14.61434,2.1895905,4798.9385,2.1735,6170.5854,6170.5854
6023085251978205184,Gaia DR3 6023085251978205184,244.44499055363417,-35.013096808173216,343.76104568156796,11.027717977792213,0.08590928984532706,13.588229,2.5739374,3793.131,1.0337,5541.877,5541.877
6027093251074895360,Gaia DR3 6027093251074895360,252.56054409413412,-33.22751681911334,349.6523128465018,7.223126888310199,0.12016264685681129,14.913188,2.0849905,5530.835,2.1297,10686.331,10686.331
4657915431493960448,Gaia DR3 4657915431493960448,81.83365451803019,-69.95504935779805,280.6297462399592,-32.53471813391369,0.007304546616385275,15.505877,1.5963821,4667.108,2.4099,7409.223,7409.223
4048347426365559808,Gaia DR3 4048347426365559808,279.1947629793198,-28.741337248961106,5.5344641803190635,-9.752061469081575,0.10866029586964772,15.485661,1.6759939,4427.9414,2.065,12075.6,12075.6
4655456373739431552,Gaia DR3 4655456373739431552,73.89132495031654,-69.30622192091322,280.6509087304877,-35.37205563870074,-0.04557000560722059,15.939158,2.2633877,4764.0874,2.2207,5325.134,5325.134
4041985510315508992,Gaia DR3 4041985510315508992,269.921281296481,-35.53356663101002,355.8090879281821,-5.903251646686432,0.1007278987235429,15.354855,2.0680666,4582.83,2.0101,6335.6816,6335.6816
5850718563653580672,Gaia DR3 5850718563653580672,208.0682025934603,-66.79340795396192,308.88482517123225,-4.62736871771962,0.07067743086882665,12.9491625,3.8082285,3389.7754,0.234,6510.5146,6510.5146
5334967311513794176,Gaia DR3 5334967311513794176,176.79189999135843,-61.419523472595486,295.32302786377153,0.4991298206331328,0.08396808687549745,13.474483,4.0806904,3415.499,0.1152,5584.343,5584.343
5952720291737277056,Gaia DR3 5952720291737277056,259.7992889694117,-45.67219936670488,343.10745067576545,-4.7378329528501215,0.027673196631695523,14.214463,2.779028,3640.0703,0.4064,9450.423,9450.423
